year,mean_NO2,mean_SO2,mean_PM2.5,mean_PM10AQI, AQI,Ship sum of two tonnes, coal /tonne,number of cars, electric /terajoule,public bus/1000,mtr/1000
1999,66.33333333,20.75,NA,59.76923077,66.33333333,551512,6393018,340568,106185,1445741,789705
2000,60.85714286,18,33.5,54.07142857,60.85714286,775771,6507802,336597,112783,1511765,777766
2001,64.5,16.92857143,37.25,57.42857143,64.5,858400,8033097,340568,116745,1547966,767444
2002,59.61538462,17.38461538,34.75,51.69230769,59.61538462,937499,8717699,344539,123522,1579449,785667
2003,62.69230769,17.15384615,42.66666667,58.76923077,62.69230769,980127,10675881,348510,127822,1477322,777269
2004,67.92307692,24.53846154,47,64.92307692,67.92307692,1018935,10691194,352481,133663,1493643,841564
2005,61.21428571,21.64285714,42.25,59.21428571,61.21428571,654842,10823664,356452,138414,1430143,866447
2006,61.71428571,21.85714286,40.5,58.5,61.71428571,694641,11403420,360427,139005,1439267,876330
2007,62.21428571,21.5,40.5,59,62.21428571,720691,12261438,371618,140212,1446781,934454
2008,62.57142857,20.78571429,37.25,55,62.57142857,742466,11344961,382809,136765,1417124,1312669
2009,62.42857143,13.78571429,31.25,49.78571429,62.42857143,718041,12331385,394000,139420,1391314,1325602
2010,65.64285714,11.5,30.25,48.57142857,65.64285714,778695,10324200,415000,137850,1378405,1413056
2011,67.92857143,12.92857143,34.28571429,51.07142857,67.92857143,811569,12528714,434843,133104,1382620,1486055
2012,65.21428571,11,29.35714286,44.21428571,65.21428571,788267,12350726,454697,126307,1402953,1557470
2013,68,12.35714286,32.46153846,49.38461538,68,800253,12971504,475752,132462,1426426,1603997
2014,60.28571429,10.57142857,29.46153846,44.5,60.28571429,813591,13788766,492563,131254,1428611,1680034
2015,59.85714286,9.285714286,26.42857143,40,59.85714286,772130,11184339,509374,132902,1429137,1711503
2016,54.64285714,8.357142857,22.85714286,34.5,54.64285714,778368,11161173,526185,137356,1448401,1719669
2017,48.8125,7.5,22.625,35.6875,48.8125,821615,10502586,542996,136525,1447782,1770767
2018,46.8125,6.625,20.75,34.25,46.8125,767958,10884169,559808,143291,1479818,1814063
2019,46.125,5.125,20.25,33.3125,46.125,777242,10035245,566272,140628,1494282,1706945
2020,39.875,4.625,15.75,27.5,39.875,682988,5485015,572736,139506,1111271,1156906
2021,41.38888889,4.722222222,16.16666667,28,41.38888889,515991,6533462,579202,140495,1589117,1423889
